CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SUB000535,subapplication,Web Based Application,WBS000066,IM0000046,Closed,4,4,4,0.941495195,incident,KM0000931,closed,3,31-01-2013 17:27,,12/2/2014 9:05,12/2/2014 9:05,"2,76,06,06,389",Other,1,SD0000073,1,,
WBA000082,application,Web Based Application,WBS000055,IM0000047,Closed,4,4,4,0.076103079,incident,KM0000401,closed,4,4/2/2013 14:38,,2/1/2014 15:22,2/1/2014 15:22,"2,44,72,33,889",Other,1,SD0000074,,,
SBA000662,application,Server Based Application,WBS000071,IM0000048,Closed,5,5,5,0.748361437,request for information,KM0000524,closed,0,6/2/2013 14:07,17-10-2013 12:22,17-10-2013 14:00,17-10-2013 14:00,"3,88,55,55,556",No error - works as designed,2,#MULTIVALUE,,,
SBA000607,application,Server Based Application,WBS000263,IM0000049,Closed,5,5,5,0.246183023,request for information,KM0000592,closed,11,8/2/2013 10:47,,17-10-2013 15:40,17-10-2013 15:40,"1,85,28,81,944",Other,1,SD0000076,,,
SBA000263,application,Server Based Application,WBS000072,IM0000053,Closed,5,5,5,0.85372157,request for information,KM0001104,closed,2,18-02-2013 11:59,4/12/2013 13:58,,4/12/2013 14:00,"2,77,45,55,556",Other,2,#MULTIVALUE,,,
WBA000124,application,Web Based Application,WBS000088,IM0000055,Closed,4,4,4,0.264909486,incident,KM0000611,closed,9,19-02-2013 11:52,,23-12-2013 13:03,23-12-2013 13:04,"2050,36",Other,1,SD0000081,,,
WBA000124,application,Web Based Application,WBS000088,IM0000056,Closed,4,4,4,0.243465909,incident,KM0000611,closed,2,20-02-2013 10:14,,8/11/2013 13:56,8/11/2013 13:57,"1,93,57,10,556",Other,1,SD0000082,,,
SUB000433,subapplication,Web Based Application,WBS000073,IM0000057,Closed,4,4,4,0.121926581,incident,KM0000791,closed,1,25-02-2013 16:03,,12/3/2014 10:15,12/3/2014 10:16,"2,76,46,33,056",Other,3,#MULTIVALUE,,,
WBA000124,application,Web Based Application,WBS000088,IM0000058,Closed,4,4,4,0.272361649,incident,KM0000611,closed,2,26-02-2013 16:44,,12/11/2013 13:40,12/11/2013 13:40,"61,125",Other,1,SD0000085,,,
WBA000124,application,Web Based Application,WBS000088,IM0000059,Closed,4,4,4,0.153093248,incident,KM0000611,closed,2,28-02-2013 12:23,3/12/2013 8:57,3/12/2013 10:36,3/12/2013 10:36,"8,86,71,66,667",Other,2,#MULTIVALUE,,,
WBA000133,application,Web Based Application,WBS000073,IM0000060,Closed,4,4,4,0.518267343,incident,KM0001633,closed,0,28-02-2013 16:49,,20-11-2013 16:38,20-11-2013 16:38,"1,91,71,75,278",No error - works as designed,1,SD0000086,,,
SUB000431,subapplication,Web Based Application,WBS000066,IM0000061,Closed,5,5,5,0.433426008,request for information,KM0000603,closed,3,1/3/2013 10:19,24-01-2014 15:20,,27-01-2014 12:44,"23,33",Software,2,#MULTIVALUE,,,
SUB000508,subapplication,Web Based Application,WBS000162,IM0000062,Closed,4,4,4,0.335109108,incident,KM0000553,closed,2,4/3/2013 12:31,,8/11/2013 15:33,8/11/2013 15:33,"4,91,11,66,667",No error - works as designed,1,SD0000087,,,
WBA000124,application,Web Based Application,WBS000088,IM0000064,Closed,3,3,3,0.481872792,incident,KM0000611,closed,4,5/3/2013 13:58,,8/11/2013 15:35,8/11/2013 15:35,"2,16,22,22,222",Software,1,SD0000090,,2,#MULTIVALUE
SBA000314,application,Server Based Application,WBS000054,IM0000067,Closed,5,5,5,0.719922533,incident,KM0000650,closed,25,11/3/2013 9:08,8/10/2013 9:14,9/10/2013 13:41,9/10/2013 13:41,"8,73,98,05,556",Other,2,#MULTIVALUE,,,
